track_id,track_name,artist,album,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,decade
0SisatcrlKcOOPgKuUGgfu,Why Don't You Believe Me - Remastered,Joni James,The Pop Queen (Remastered),0.607,0.359,0.18,3,-12.658,1,0.0299,0,0.0966,0.243,80.747,176093,4,1950
0FIhDuGp9ORgs6KoRJQUFM,I Saw Mommy Kissing Santa Claus,Various Artists,Christmas 16 Most Requested Songs,0.947,0.506,0.113,10,-15.61,1,0.0329,0,0.169,0.451,115.942,149493,4,1950
67wujxNGj79fzPuROJRXLQ,Don't Let The Stars Get In Your Eyes,Perry Como,Pure Gold,0.809,0.808,0.421,8,-12.533,1,0.042,0,0.0724,0.963,122.752,160773,4,1950
5JSa7B1wgW5x5aNIziHjfM,Till I Waltz Again With You,Teresa Brewer,Till I Waltz Again With You,0.978,0.573,0.0429,3,-15.463,1,0.0541,5.65E-06,0.0805,0.406,116.305,180720,3,1950
7bs4wDnaX0z7BTeM6lTcYA,(How Much Is That) Doggie In The Window,Patti Page,Golden Hits,0.843,0.691,0.0734,7,-13.319,1,0.0434,0,0.105,0.675,126.103,149627,4,1950
1KMlhsBxRsdiPKNhxzc4iO,The Song from 'moulin Rouge' (Where Is Your Heart),Percy Faith,Music From Hollywood,0.885,0.172,0.381,2,-10.765,1,0.0367,0.896,0.0751,0.0761,122.41,351559,5,1950
70PXozsEK1wUHXnT72Wlxh,I'm Walking Behind You - 2001 Remastered,Eddie Fisher,Greatest Hits,0.913,0.27,0.163,2,-10.784,1,0.0288,0,0.126,0.245,80.482,184400,4,1950
5JzWllkrWQHI2cfoM6mVAX,Vaya Con Dios (May God Be With You),Les Paul & Mary Ford,"Vintage Vocal Jazz / Swing Nº 52 - EPs Collectors, ""Vaya Con Dios""",0.952,0.627,0.159,4,-13.581,1,0.0393,0.00739,0.113,0.299,98.919,165415,3,1950
3ypAFORUcPqXcW0Zs1xesi,St. George & The Dragonet,Stan Freberg,The Capitol Singles Collection,0.825,0.617,0.278,7,-12.2,1,0.937,0,0.0225,0.555,174.6,206253,3,1950
4BH8EuPAxeFAh1rSWtnGdD,Rags to Riches - Remastered,Tony Bennett,"The Columbia Singles, Vol. 2",0.907,0.409,0.435,2,-9.399,1,0.0453,7.17E-06,0.0559,0.567,78.136,168480,4,1950
0EIEvpiVxoXEn5GZWvG1RT,Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,Eddie Fisher,Greatest Hits,0.863,0.425,0.188,10,-9.927,1,0.0289,0,0.347,0.502,97.048,185627,4,1950
5wzjc23Qsn7wN75eLMvFEc,Secret Love,Doris Day,Calamity Jane,0.891,0.28,0.177,11,-12.085,1,0.0315,0.000161,0.114,0.221,132.359,219600,4,1950
55mhvXyob5y5FzIMQqtobb,Make Love To Me,Various Artists,Over the Rainbow - Crooners and Divas,0.899,0.57,0.51,9,-4.632,1,0.0333,0,0.219,0.727,109.737,164728,4,1950
6odYX5rN6cIVzJfn6EDNQC,Wanted (with Henri René & His Orchestra and Chorus),Perry Como,The Definitive Collection,0.915,0.273,0.166,1,-12.312,0,0.0348,2.35E-06,0.341,0.428,72.882,184933,4,1950
1KawenIjsHQcJAvvI2hJDy,Little Things Mean a Lot (Original Mix),Kitty Kallen,1130 PM,0.827,0.384,0.156,8,-12.751,1,0.0409,0,0.108,0.351,84.934,179148,4,1950
0iApfII0PAUVPlgwCPRbls,Sh-Boom (Life Could Be A Dream),The Crew Cuts,Sh-Boom,0.85,0.672,0.269,2,-10.932,0,0.0934,0,0.229,0.562,129.533,168467,4,1950
1I0KwaoGH86u2oeSIU0TuW,Hey There,Rosemary Clooney,Everything's Coming Up Rosie,0.475,0.552,0.211,8,-14.337,1,0.0592,0,0.081,0.409,121.135,157227,4,1950
3reMY0PF49alfXMs30c2z4,This Ole House - Single Version,Rosemary Clooney,The Essential Rosemary Clooney,0.755,0.689,0.723,0,-8.079,1,0.0483,0,0.248,0.962,105.913,142267,4,1950
0gxpt81ZzaX0x72k1NOojB,I Need You Now - 2001 Remastered,Eddie Fisher,Greatest Hits,0.903,0.6,0.202,0,-11.021,1,0.0329,0,0.35,0.74,118.224,149093,3,1950
47O5lXcK78Z3TIiGzuc18l,Mr. Sandman,The Chordettes,The Chordettes,0.85,0.626,0.535,9,-4.441,1,0.0443,0,0.0561,0.671,108.804,144200,4,1950
5fBSTM0c5NmgUffRQLvl40,Let Me Go Lover (with Jimmy Carroll & His Orchestra),Various Artists,16 Most Requested Songs Of The 1950s. Volume One,0.915,0.379,0.246,9,-10.28,1,0.0387,0,0.11,0.324,80.936,143400,3,1950
3EEH2Vj37YKDILr1KD9Js8,Hearts of Stone,The Fontaine Sisters,Happy Days and Lonely Nights,0.625,0.654,0.711,5,-5.123,1,0.0553,5.52E-05,0.407,0.967,173.01,125852,4,1950
4bsND9IuJz18UtFx2MwwO8,Sincerely,The McGuire Sisters,The McGuire Sisters Greatest Hits,0.835,0.443,0.193,1,-10.479,1,0.0276,0,0.0855,0.599,74.505,178960,4,1950
2mAUMNxgEpQoWEfpvShDGC,The Ballad of Davy Crockett,Bill Hayes,The Ballad of Davy Crockett,0.888,0.54,0.318,4,-14.866,1,0.1,0,0.328,0.851,175.017,141410,3,1950
5HisVcYPaIB4uHdrnW6HCt,Cherry Pink And Apple Blossom White,Pérez Prado,Mambo No 5,0.517,0.51,0.344,3,-13.14,1,0.0454,0.754,0.107,0.707,118.274,189640,4,1950
1uRKT2LRANv4baowBWHfDS,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,Rock Around The Clock,0.205,0.811,0.859,9,-6.317,1,0.168,3.73E-06,0.0761,0.784,90.686,129893,4,1950
7985fUI9WlsIIrQuO9TBDh,The Yellow Rose of Texas - Single Version,Mitch Miller,Greatest Hits,0.835,0.788,0.878,8,-8.834,1,0.041,8.79E-06,0.0892,0.929,100.064,181067,4,1950
5koEBSDfDV8MQVN0tg67z5,Love Is A Many-Splendored Thing,The Four Aces,The Four Aces' Greatest Hits,0.735,0.4,0.293,2,-11.781,1,0.0282,0,0.346,0.232,77.111,179467,4,1950
3egl5gFPTAK5VyOPj2Reg5,Autumn Leaves,Roger Williams,"The Best of Roger Williams, Vol. 1",0.967,0.235,0.253,2,-15.677,0,0.0316,0.85,0.135,0.162,105.118,193904,4,1950
3P6OwCX7Ofiaaqtvujb6i5,Sixteen Tons,Tennessee Ernie Ford,Vintage Collections,0.796,0.693,0.324,11,-15.085,1,0.205,0,0.246,0.382,144.14,158307,4,1950
4h0igWYayzteBtSNpWYQ9h,Memories Are Made Of This,Dean Martin,"Hey, Brother Pour The Wine",0.918,0.611,0.179,4,-15.977,1,0.0488,0,0.109,0.556,133.073,138080,4,1950
7te9DUttzNePdSlkIgSTdz,Rock And Roll Waltz,Kay Starr,Good Music Book,0.82,0.549,0.478,5,-3.756,1,0.0286,0,0.356,0.748,104.302,178285,3,1950
1fazjcfV0fNI14sB1ohQjk,Lisbon Antigua - Remastered,Various Artists,Ultra-Lounge: Bottoms Up!,0.746,0.485,0.184,0,-13.972,1,0.0284,0.221,0.121,0.494,80.445,154307,4,1950
70gZnClysSHCBwI0H4qr5O,The Poor People Of Paris (Jean's Song) - Single Version,Les Baxter,Baxter's Best,0.693,0.567,0.279,10,-11.763,1,0.0377,0.289,0.096,0.764,87.581,146093,4,1950
6xNwKNYZcvgV3XTIwsgNio,Heartbreak Hotel,Elvis Presley,Elvis' Golden Records,0.84,0.696,0.21,4,-11.922,1,0.067,1.62E-06,0.107,0.717,93.543,127560,4,1950
2VqsUEpRPvgiiBdsBuQrJz,The Wayward Wind,Gogi Grant,Gogi Grant,0.656,0.528,0.263,11,-15.26,1,0.0357,2.59E-06,0.192,0.569,138.437,157280,3,1950
60tEaPHRJLnMzbyOPTeh3A,"I Want You, I Need You, I Love You",Elvis Presley,Elvis' Golden Records,0.875,0.441,0.33,0,-11.186,1,0.0301,0,0.31,0.726,78.744,159920,4,1950
1ntGJDSakqsaw1KhptKrB5,My Prayer,The Platters,The Platters,0.812,0.359,0.272,10,-8.393,1,0.0294,0,0.095,0.254,109.249,167800,3,1950
01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,Elvis Presley,Elvis' Golden Records,0.856,0.697,0.55,2,-11.496,1,0.18,3.44E-05,0.0907,0.844,84.802,122893,4,1950
64Ny7djQ6rNJspquof2KoX,Hound Dog,Elvis Presley,Elvis' Golden Records,0.733,0.357,0.756,0,-8.492,1,0.0621,0.00505,0.76,0.95,174.797,136027,4,1950
4GAhAw0RCzNVP976NRMOqO,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley,Elvis' Golden Records,0.907,0.396,0.0373,9,-18.642,1,0.0416,4.41E-05,0.111,0.302,103.051,161360,3,1950
1JZTLevAc31WfncRJLqygD,Singing The Blues - Guy Mitchell,Compilation Les Années 50 : la légende américaine,Les Années 50 : la légende américaine,0.874,0.631,0.678,4,-5.933,1,0.0405,0.00195,0.117,0.925,139.364,146006,4,1950
5MCLmWJgzC3wTptkENyntW,Too Much,Elvis Presley,Elvis' Golden Records,0.838,0.572,0.676,3,-9.91,0,0.0521,0,0.141,0.858,120.151,152787,4,1950
5oUI8shc64v1cl3PKUOXHA,Young Love,Tab Hunter,Young Love,0.895,0.329,0.407,0,-10.215,1,0.0367,2.56E-05,0.0956,0.53,196.391,146492,4,1950
3SNEFR9U8CCEUN3iZfkVgW,Party Doll,Buddy Knox,Buddy Knox,0.718,0.664,0.731,11,-7.84,0,0.0779,5.95E-06,0.216,0.661,90.054,135173,4,1950
0rvQGHLd67prV6eYat1ZX4,Round And Round - Remastered - 1992,Perry Como,Today & Yesterday,0.897,0.75,0.481,9,-12.884,1,0.106,0,0.177,0.75,117.959,153307,4,1950
5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,Elvis Presley,Elvis' Golden Records,0.881,0.624,0.468,10,-12.162,1,0.132,6.35E-06,0.144,0.952,74.139,117080,4,1950
1eqGYJJr2z2GXK1i0hD3BC,Love Letters In The Sand - Single Version,Pat Boone,Pat Boone's Greatest Hits (Reissue),0.811,0.571,0.196,3,-13.216,1,0.0278,0,0.142,0.555,88.728,134560,4,1950
4qfseGEjfvaXs6veGjPU2z,(Let Me Be Your) Teddy Bear,Elvis Presley,Elvis' Golden Records,0.83,0.628,0.399,0,-12.447,1,0.18,0,0.353,0.924,87.807,107187,4,1950
5aumFAJ6QzEy8Sm9fluanc,Tammy,Debbie Reynolds,Love Is A Simple Thing,0.862,0.211,0.166,8,-17.224,1,0.0359,0.204,0.107,0.262,80.482,184347,4,1950
4chlGZQX5uPYpRLp3NezmX,Diana,Paul Anka,Put Your Head On My Shoulder: The Very Best Of Paul Anka,0.341,0.57,0.408,7,-9.932,1,0.0295,0,0.549,0.96,143.249,138360,4,1950
75svqIkspXsOycLjoi8jJc,Baby My Heart,The Crickets,That'll Be the Day,0.906,0.442,0.46,7,-11.856,1,0.0337,0,0.548,0.922,130.032,136046,4,1950
2ou36746UYor4N33IG8UvM,Honeycomb,Various Artists,Rock'n Roll Is Back,0.823,0.714,0.597,1,-7.89,1,0.0395,0,0.189,0.937,98.809,135520,4,1950
11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers,The Very Best of The Everly Brothers,0.318,0.709,0.62,2,-9.382,1,0.034,0,0.0426,0.936,93.723,123520,4,1950
